PROJECT, SAMPLE_NUMBER, PROGRAM, SUB_PROGRAM, SAMPLING_POINT, SP_DESCRIPTION, SAMPLING_POINT_GROUP, CUSTOMER_SAMPLE_ID, QA_CODE, SAMPLED_BY, SAMPLED_DATE, RECD_DATE, RECEIPT_TEMP, REPORTED_NAME, COMPONENT, RESULT, UNITS, MRL, ANALYSIS_DATE, DEPTH, DEPTH_UNITS, COLLECT_TYPE, SAMPLE_NOTES, TEST_NOTES, RESULT_NOTES
OWRB-001_1513,OWRB-1681525-01,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.A,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Arsenic, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681525-01,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.A,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Selenium, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681525-01,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.A,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Molybdenum, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681525-01,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.A,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Silver, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681525-01,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.A,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Cadmium, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681525-01,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.A,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Antimony, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681525-01,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.A,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Barium, Dissolved",128,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681525-01,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.A,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Lead, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681525-01,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.A,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Uranium, Dissolved",5.27,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681525-02,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.B,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA300.0 Inorganic Anions,Fluoride,0.29,mg/L,0.1,3/24/2022 2:43,0,,,,,
OWRB-001_1513,OWRB-1681525-02,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.B,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA300.0 Inorganic Anions,Chloride,6.08,mg/L,3,3/24/2022 2:43,0,,,,,
OWRB-001_1513,OWRB-1681525-02,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.B,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA300.0 Inorganic Anions,Bromide,0.12,mg/L,0.1,3/24/2022 2:43,0,,,,,
OWRB-001_1513,OWRB-1681525-02,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.B,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA300.0 Inorganic Anions,Sulfate,29.6,mg/L,0.5,3/24/2022 2:43,0,,,,,
OWRB-001_1513,OWRB-1681525-03,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.C,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA353.2 Nitrate/Nitrite,Nitrate/Nitrite as Nitrogen,0.1,mg/L,0.05,3/16/2022 14:08,0,,,,,
OWRB-001_1513,OWRB-1681525-03,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.C,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA365.3M Dissolved Phosphorus,Dissolved Phosphorus,<0.010,mg/L,0.01,3/23/2022 15:57,0,,,,,
OWRB-001_1513,OWRB-1681525-03,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.C,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA350.1 Ammonia as N,Ammonia as Nitrogen,<0.10,mg/L,0.1,3/16/2022 13:40,0,,,,,
OWRB-001_1513,OWRB-1681525-04,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.D,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,SM2540C Total Dissolved Solids,Total Dissolved Solids,378,mg/L,10,3/16/2022 14:08,0,,,,,
OWRB-001_1513,OWRB-1681526-01,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA200.7 Trace Elements,"Calcium, Dissolved",0.73,mg/L,0.5,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681526-01,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA200.7 Trace Elements,"Magnesium, Dissolved",<0.50,mg/L,0.5,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681526-01,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA200.7 Trace Elements,"Sodium, Dissolved",245,mg/L,0.5,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681526-01,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA200.7 Trace Elements,"Potassium, Dissolved",0.54,mg/L,0.5,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681526-01,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA200.7 Trace Elements,"Silicon as Silica, Dissolved",11.3,mg/L,0.05,3/23/2022,0,,,,,
